PO Number,Received Quantity,Condition
PO-75571,56,Damaged
PO-46604,24,Damaged
PO-21653,19,Good
PO-18940,99,Damaged
PO-26420,40,Damaged
PO-76182,53,Damaged
PO-35399,21,Damaged
PO-97757,31,Good
PO-97044,9,Damaged
PO-36778,91,Incomplete
PO-96835,57,Damaged
PO-64141,77,Good
PO-27438,24,Incomplete
PO-51295,33,Good
PO-75746,3,Incomplete
PO-57191,52,Incomplete
PO-79143,20,Incomplete
PO-28784,71,Damaged
PO-15705,77,Damaged
PO-20610,77,Incomplete
PO-38072,87,Incomplete
PO-43316,76,Damaged
PO-88559,86,Good
PO-82705,4,Good
PO-27102,64,Incomplete
PO-19464,46,Damaged
PO-18424,98,Incomplete
PO-86992,1,Damaged
PO-99377,43,Good
PO-12161,94,Damaged
PO-48541,1,Good
PO-14198,21,Good
PO-91616,39,Good
PO-34229,58,Good
PO-40449,60,Incomplete
PO-17023,10,Damaged
PO-91701,69,Incomplete
PO-54227,39,Incomplete
PO-21649,38,Incomplete
PO-10601,15,Good
PO-43140,27,Good
PO-82558,51,Good
PO-68980,97,Incomplete
PO-36930,91,Incomplete
PO-90175,26,Incomplete
PO-22585,15,Good
PO-75142,71,Damaged
PO-19389,2,Incomplete
PO-68423,88,Incomplete
PO-41125,72,Good
PO-43941,66,Damaged
PO-26998,50,Damaged
PO-23670,31,Good
PO-43377,86,Good
PO-17904,49,Good
PO-31421,8,Good
PO-40794,11,Damaged
PO-98105,14,Damaged
PO-78595,2,Damaged
PO-58660,48,Incomplete
PO-16633,50,Good
PO-33347,14,Good
PO-52117,19,Incomplete
PO-99123,27,Incomplete
PO-76613,61,Damaged
PO-98223,44,Good
PO-89397,88,Incomplete
PO-97486,30,Incomplete
PO-19197,22,Damaged
PO-96602,57,Good
PO-97139,8,Damaged
PO-77429,35,Damaged
PO-33735,25,Incomplete
PO-20674,62,Good
PO-84773,71,Damaged
PO-64611,67,Damaged
PO-13597,42,Good
PO-73872,90,Damaged
PO-83653,20,Damaged
PO-69329,16,Incomplete
PO-94309,67,Good
PO-43018,69,Damaged
PO-14305,3,Damaged
PO-38041,38,Incomplete
PO-36836,11,Good
PO-86805,85,Good
PO-20618,47,Good
PO-98761,7,Incomplete
PO-71782,32,Incomplete
PO-89532,47,Damaged
PO-58041,74,Incomplete
PO-22544,92,Incomplete
PO-20744,35,Good
PO-30196,94,Damaged
PO-27145,11,Damaged
PO-16002,2,Incomplete
PO-92333,91,Good
PO-94632,14,Incomplete
PO-71589,1,Good
PO-51325,11,Good
PO-58197,40,Incomplete
PO-97555,83,Good
PO-31461,56,Good
PO-34437,64,Damaged
PO-93494,85,Good
PO-55512,40,Good
PO-37228,35,Incomplete
PO-41119,19,Incomplete
PO-84857,92,Incomplete
PO-26850,8,Damaged
PO-29519,27,Damaged
PO-69221,95,Incomplete
PO-64696,39,Incomplete
PO-81573,56,Good
PO-29358,9,Good
PO-84840,35,Incomplete
PO-45258,14,Incomplete
PO-78989,11,Incomplete
PO-97787,43,Damaged
PO-20204,13,Damaged
PO-62468,49,Incomplete
PO-58556,67,Damaged
PO-52098,96,Incomplete
PO-47164,1,Incomplete
PO-44695,7,Incomplete
PO-46163,3,Good
PO-47150,63,Incomplete
PO-44083,34,Good
PO-82543,75,Good
PO-76839,98,Good
PO-52542,41,Damaged
PO-44306,56,Damaged
PO-34285,45,Incomplete
PO-59228,36,Incomplete
PO-81441,34,Incomplete
PO-66369,19,Incomplete
PO-89063,12,Good
PO-27806,34,Incomplete
PO-95225,7,Incomplete
PO-65298,2,Good
PO-41529,82,Damaged
PO-64781,46,Good
PO-43308,70,Damaged
PO-83234,74,Damaged
PO-20336,30,Incomplete
PO-25639,13,Incomplete
PO-41025,92,Damaged
PO-86770,91,Good
PO-11867,36,Good
PO-50704,24,Good
PO-17681,67,Damaged
PO-62137,93,Damaged
PO-65392,53,Incomplete
PO-83566,14,Good
PO-46565,41,Good
PO-36806,61,Damaged
PO-65387,64,Damaged
PO-36868,32,Good
PO-39523,42,Damaged
PO-80233,51,Incomplete
PO-74023,1,Damaged
PO-42577,5,Incomplete
PO-84013,26,Damaged
PO-92271,94,Damaged
PO-58388,24,Good
PO-30929,9,Incomplete
PO-13166,21,Incomplete
PO-55010,8,Incomplete
PO-34998,55,Good
PO-44421,6,Damaged
PO-42293,41,Incomplete
PO-90124,53,Damaged
PO-78976,38,Good
PO-39118,29,Good
PO-18584,4,Good
PO-41165,78,Incomplete
PO-14274,26,Damaged
PO-89315,58,Incomplete
PO-53595,19,Incomplete
PO-98232,63,Damaged
PO-30883,59,Incomplete
PO-51683,64,Incomplete
PO-22326,36,Incomplete
PO-69740,65,Damaged
PO-81599,28,Incomplete
PO-83066,98,Damaged
PO-37163,41,Incomplete
PO-78195,29,Good
PO-67700,78,Good
PO-98661,13,Incomplete
PO-38528,74,Incomplete
PO-31782,77,Good
PO-80071,54,Damaged
PO-45517,45,Incomplete
PO-31551,5,Damaged
PO-60931,52,Damaged
PO-89657,88,Incomplete
PO-13559,24,Damaged
PO-18126,65,Good
PO-11658,51,Damaged
PO-53676,70,Damaged
PO-56651,16,Incomplete
PO-53525,68,Good
PO-18236,86,Damaged
PO-32420,57,Damaged
PO-76634,78,Damaged
PO-62613,63,Damaged
PO-18676,17,Damaged
PO-24494,79,Good
PO-83172,90,Damaged
PO-48531,34,Good
PO-42312,48,Damaged
PO-37342,34,Damaged
PO-79038,33,Good
PO-22648,83,Damaged
PO-46473,71,Damaged
PO-97427,26,Damaged
PO-97648,100,Incomplete
PO-86654,82,Damaged
PO-27106,54,Good
PO-34504,55,Damaged
PO-96870,100,Damaged
PO-73823,18,Good
PO-93063,1,Incomplete
PO-55029,89,Incomplete
PO-81389,84,Incomplete
PO-22919,62,Good
PO-14033,70,Good
PO-96757,10,Good
PO-80676,41,Incomplete
PO-37580,51,Good
PO-52954,82,Damaged
PO-74443,28,Good
PO-80652,42,Incomplete
PO-59997,64,Incomplete
PO-53743,22,Damaged
PO-73801,56,Good
PO-46037,94,Damaged
PO-61740,21,Damaged
PO-10157,97,Incomplete
PO-44139,90,Damaged
PO-19487,23,Damaged
PO-13919,57,Incomplete
PO-65021,63,Good
PO-29219,91,Good
PO-26101,53,Damaged
PO-16428,95,Damaged
PO-27419,62,Damaged
PO-42975,44,Good
PO-70157,95,Damaged
PO-77176,1,Incomplete
PO-13294,60,Good
PO-78358,26,Good
PO-87038,69,Good
PO-52264,15,Incomplete
PO-33968,72,Good
PO-72403,80,Incomplete
PO-31263,95,Incomplete
PO-31544,56,Damaged
PO-52513,68,Incomplete
PO-79100,66,Damaged
PO-37567,55,Damaged
PO-43553,69,Good
PO-64803,16,Good
PO-14731,24,Good
PO-54362,68,Damaged
PO-83254,70,Incomplete
PO-45506,3,Incomplete
PO-38362,53,Incomplete
PO-85199,40,Damaged
PO-87085,25,Good
PO-89192,80,Damaged
PO-60916,80,Incomplete
PO-22119,69,Incomplete
PO-90147,97,Damaged
PO-19515,78,Damaged
PO-52495,22,Good
PO-87616,18,Damaged
PO-37940,78,Damaged
PO-54485,56,Good
PO-18879,5,Damaged
PO-86928,66,Damaged
PO-82119,38,Incomplete
PO-27559,38,Incomplete
PO-90712,49,Incomplete
PO-31487,54,Damaged
PO-67905,93,Damaged
PO-28164,35,Incomplete
PO-40121,15,Incomplete
PO-36847,27,Damaged
PO-62759,27,Incomplete
PO-57391,58,Damaged
PO-77842,48,Damaged
PO-93239,6,Damaged
PO-92724,31,Good
PO-36093,3,Incomplete
PO-74885,45,Incomplete
PO-69428,47,Damaged
PO-56553,49,Incomplete
PO-42123,47,Incomplete
PO-57751,82,Damaged
PO-53883,22,Damaged
PO-57308,35,Good
PO-30437,73,Good
PO-47078,78,Good
PO-43333,89,Damaged
PO-53025,44,Good
PO-92161,82,Incomplete
PO-50932,40,Damaged
PO-83527,68,Damaged
PO-22462,13,Incomplete
PO-69177,54,Good
PO-91140,26,Good
PO-87153,22,Good
PO-39873,73,Incomplete
PO-31027,81,Incomplete
PO-74939,7,Incomplete
PO-21168,74,Good
PO-70123,21,Incomplete
PO-29582,67,Incomplete
PO-74298,76,Damaged
PO-12467,96,Incomplete
PO-53127,41,Damaged
PO-80122,100,Good
PO-31242,44,Damaged
PO-32973,86,Incomplete
PO-93416,36,Damaged
PO-96736,71,Incomplete
PO-23259,51,Damaged
PO-22729,96,Damaged
PO-72034,65,Good
PO-66729,66,Good
PO-89595,96,Damaged
PO-48531,38,Damaged
PO-27276,11,Incomplete
PO-28040,53,Good
PO-14293,84,Good
PO-72769,32,Incomplete
PO-59727,95,Incomplete
PO-33429,41,Damaged
PO-66778,94,Damaged
PO-89361,41,Incomplete
PO-31714,26,Incomplete
PO-85946,61,Good
PO-65118,98,Incomplete
PO-36687,12,Good
PO-84287,77,Good
PO-94107,63,Incomplete
PO-26853,16,Incomplete
PO-40120,27,Incomplete
PO-83802,85,Incomplete
PO-99549,1,Good
PO-49260,32,Incomplete
PO-38492,6,Damaged
PO-43344,25,Good
PO-24879,79,Incomplete
PO-80606,30,Good
PO-87545,20,Incomplete
PO-38342,68,Good
PO-59272,67,Damaged
PO-52843,6,Incomplete
PO-59878,70,Damaged
PO-77044,84,Incomplete
PO-72499,38,Damaged
PO-65709,29,Incomplete
PO-25613,65,Damaged
PO-40442,67,Incomplete
PO-75921,64,Good
PO-39757,4,Good
PO-69026,4,Damaged
PO-56146,63,Incomplete
PO-74382,76,Good
PO-32756,38,Damaged
PO-26697,69,Damaged
PO-98123,54,Incomplete
PO-39638,33,Incomplete
PO-64807,35,Damaged
PO-55306,30,Damaged
PO-14441,17,Damaged
PO-56851,1,Damaged
PO-22023,89,Incomplete
PO-94738,98,Good
PO-71941,22,Damaged
PO-41220,17,Good
PO-24587,67,Damaged
PO-63582,82,Good
PO-94210,8,Good
PO-80503,48,Damaged
PO-54805,29,Damaged
PO-18475,80,Good
PO-96997,72,Damaged
PO-89793,37,Damaged
PO-59722,39,Damaged
PO-46331,57,Damaged
PO-28279,10,Incomplete
PO-28163,24,Incomplete
PO-70120,41,Good
PO-98539,8,Damaged
PO-73034,54,Good
PO-56695,53,Good
PO-22232,51,Damaged
PO-11570,10,Damaged
PO-72267,95,Good
PO-62712,85,Damaged
PO-44057,75,Good
PO-90736,27,Good
PO-52030,40,Incomplete
PO-93458,75,Good
PO-74917,28,Good
PO-21977,26,Good
PO-92476,77,Incomplete
PO-13683,61,Incomplete
PO-10216,74,Damaged
PO-32977,6,Incomplete
PO-97717,96,Damaged
PO-19318,53,Good
PO-83182,78,Good
PO-48578,74,Good
PO-45525,6,Incomplete
PO-59962,18,Good
PO-27438,44,Damaged
PO-79698,94,Damaged
PO-99153,82,Damaged
PO-47121,11,Damaged
PO-42989,37,Good
PO-19889,64,Incomplete
PO-24064,37,Good
PO-75223,89,Damaged
PO-15121,69,Damaged
PO-98360,4,Good
PO-35149,18,Incomplete
PO-17411,1,Damaged
PO-61464,77,Damaged
PO-45829,72,Damaged
PO-66421,58,Incomplete
PO-32077,41,Damaged
PO-44856,33,Damaged
PO-33861,13,Good
PO-60536,98,Good
PO-59661,35,Good
PO-84473,60,Good
PO-71474,26,Damaged
PO-44889,43,Incomplete
PO-61106,30,Damaged
PO-13151,25,Damaged
PO-80091,14,Damaged
PO-40541,35,Incomplete
PO-37882,55,Good
PO-81803,12,Incomplete
PO-50383,13,Good
PO-48063,77,Incomplete
PO-99665,94,Incomplete
PO-51064,53,Good
PO-99069,75,Damaged
PO-14252,52,Incomplete
PO-67040,23,Incomplete
PO-67574,91,Damaged
PO-28879,6,Damaged
PO-93472,50,Good
PO-48079,71,Good
PO-54217,56,Damaged
PO-48986,65,Good
PO-40502,86,Good
PO-71292,37,Good
PO-37112,99,Incomplete
PO-18166,99,Incomplete
PO-23787,90,Damaged
PO-66486,92,Good
PO-26829,76,Good
PO-18571,64,Good
PO-17993,8,Incomplete
PO-70680,38,Good
PO-44920,74,Incomplete
PO-83429,66,Good
PO-11558,73,Incomplete
PO-30945,80,Damaged
PO-41753,80,Good
PO-33489,33,Damaged
PO-44105,5,Incomplete
PO-92135,54,Damaged
PO-82060,71,Good
PO-70464,81,Good
PO-86660,28,Good
PO-77710,68,Incomplete
PO-65407,29,Good
PO-21559,21,Incomplete
PO-27789,65,Incomplete
PO-72207,34,Damaged
PO-13577,81,Incomplete
PO-95910,7,Good
PO-63569,74,Incomplete
PO-72876,95,Good
PO-81610,70,Good
PO-61981,14,Incomplete
PO-53039,77,Good
PO-38371,14,Damaged
PO-70893,57,Damaged
PO-70874,22,Damaged
PO-23426,25,Damaged
PO-43215,33,Incomplete
PO-47683,42,Damaged
PO-76386,65,Incomplete
PO-66542,52,Good
PO-83114,64,Good
PO-97970,8,Incomplete
PO-41865,49,Good
PO-34777,81,Good
PO-26523,82,Good
PO-68606,4,Damaged
PO-89027,95,Incomplete
PO-34330,2,Damaged
PO-79881,11,Damaged
PO-22670,31,Good
PO-61857,63,Incomplete
PO-18889,94,Damaged
PO-11319,87,Incomplete
PO-78230,61,Damaged
PO-21708,2,Good
PO-53770,42,Good
PO-98943,35,Damaged
PO-52596,87,Damaged
PO-98875,61,Good
PO-93221,2,Good
PO-16772,60,Good
PO-82062,20,Incomplete
PO-25970,23,Incomplete
PO-97616,60,Good
PO-18925,82,Incomplete
PO-48405,51,Incomplete
PO-44210,52,Good
PO-74008,72,Good
PO-11924,60,Good
PO-60928,82,Incomplete
PO-57143,66,Damaged
PO-43124,47,Good
PO-29482,49,Damaged
PO-10717,50,Incomplete
PO-82781,100,Damaged
PO-97486,59,Incomplete
PO-35666,62,Good
PO-61234,35,Damaged
PO-12892,98,Damaged
PO-26317,29,Good
PO-61486,61,Good
PO-45843,100,Good
PO-66562,15,Incomplete
PO-65441,18,Good
PO-75053,73,Good
PO-43478,80,Damaged
PO-60862,29,Good
PO-40351,26,Good
PO-46902,5,Damaged
PO-21750,29,Good
PO-49386,1,Damaged
PO-21738,87,Incomplete
PO-50796,71,Incomplete
PO-84944,41,Good
PO-13321,86,Damaged
PO-76530,13,Incomplete
PO-57803,15,Damaged
PO-86954,14,Incomplete
PO-65089,92,Incomplete
PO-59647,4,Damaged
PO-85294,35,Incomplete
PO-84545,38,Damaged
PO-56776,7,Good
PO-91310,93,Damaged
PO-39656,27,Damaged
PO-23508,74,Good
PO-42186,80,Incomplete
PO-27139,87,Damaged
PO-84377,17,Damaged
PO-76702,60,Incomplete
PO-67143,19,Good
PO-19919,88,Incomplete
PO-34484,87,Good
PO-96444,24,Incomplete
PO-84025,96,Damaged
PO-71782,29,Good
PO-72916,32,Damaged
PO-37912,92,Incomplete
PO-41069,91,Damaged
PO-64737,56,Damaged
PO-34247,41,Damaged
PO-71705,99,Good
PO-98425,75,Good
PO-77506,73,Damaged
PO-68230,44,Good
PO-50431,9,Damaged
PO-72943,88,Good
PO-22870,51,Good
PO-17290,92,Incomplete
PO-59631,58,Good
PO-59977,15,Damaged
PO-46613,15,Good
PO-90596,22,Good
PO-71960,88,Incomplete
PO-12905,13,Damaged
PO-95558,46,Damaged
PO-95017,97,Incomplete
PO-67938,92,Good
PO-92922,38,Damaged
PO-27845,28,Good
PO-82181,60,Good
PO-35863,8,Damaged
PO-97007,19,Damaged
PO-89385,30,Incomplete
PO-18866,11,Incomplete
PO-66545,34,Incomplete
PO-26715,56,Incomplete
PO-22254,55,Good
PO-81625,90,Good
PO-23939,20,Damaged
PO-38157,30,Good
PO-53506,28,Good
PO-45293,4,Good
PO-34456,49,Good
PO-96825,13,Good
PO-88556,51,Incomplete
PO-24513,11,Incomplete
PO-96044,59,Good
PO-30698,37,Good
PO-50198,21,Good
PO-18513,15,Good
PO-45816,81,Damaged
PO-53647,36,Incomplete
PO-28316,34,Damaged
PO-34061,1,Good
PO-92620,73,Good
PO-91230,46,Damaged
PO-10597,18,Incomplete
PO-37537,71,Good
PO-64681,79,Incomplete
PO-91553,56,Incomplete
PO-56664,48,Incomplete
PO-23394,87,Good
PO-94396,86,Incomplete
PO-39102,98,Good
PO-69658,10,Damaged
PO-13026,21,Damaged
PO-37595,78,Damaged
PO-70302,69,Good
PO-88874,2,Incomplete
PO-42910,4,Incomplete
PO-42789,50,Good
PO-15667,9,Good
PO-12826,90,Damaged
PO-12414,32,Good
PO-95537,95,Damaged
PO-66750,27,Incomplete
PO-70455,79,Good
PO-36932,99,Damaged
PO-63345,86,Damaged
PO-67462,65,Damaged
PO-17352,8,Good
PO-13094,58,Incomplete
PO-73106,93,Incomplete
PO-24834,55,Incomplete
PO-86411,47,Incomplete
PO-93114,49,Damaged
PO-29005,67,Damaged
PO-86796,55,Damaged
PO-93056,58,Damaged
PO-70971,67,Incomplete
PO-22653,97,Incomplete
PO-46294,52,Incomplete
PO-48803,63,Good
PO-55082,22,Damaged
PO-43849,71,Incomplete
PO-10832,93,Damaged
PO-75050,64,Damaged
PO-50006,85,Good
PO-17397,94,Good
PO-55974,64,Good
PO-33879,99,Good
PO-18134,99,Good
PO-30733,81,Incomplete
PO-46786,18,Damaged
PO-39854,19,Good
PO-97599,10,Damaged
PO-33751,1,Good
PO-81979,89,Good
PO-21847,19,Incomplete
PO-81939,45,Incomplete
PO-65132,36,Incomplete
PO-82127,66,Incomplete
PO-31146,30,Incomplete
PO-71379,74,Damaged
PO-98459,63,Damaged
PO-37587,48,Damaged
PO-64638,78,Damaged
PO-41800,66,Good
PO-44587,73,Damaged
PO-93192,34,Good
PO-15624,40,Good
PO-65344,24,Good
PO-55552,25,Damaged
PO-86159,14,Damaged
PO-19368,69,Incomplete
PO-27316,7,Incomplete
PO-98020,25,Good
PO-37375,80,Incomplete
PO-43623,14,Incomplete
PO-73883,92,Damaged
PO-13573,72,Damaged
PO-43185,84,Damaged
PO-44161,71,Damaged
PO-87363,8,Incomplete
PO-93195,84,Damaged
PO-76683,18,Damaged
PO-37893,91,Incomplete
PO-66329,69,Damaged
PO-21456,8,Damaged
PO-29822,44,Incomplete
PO-11577,46,Damaged
PO-54649,26,Damaged
PO-41849,21,Good
PO-92281,68,Good
PO-47400,10,Good
PO-80981,57,Incomplete
PO-13617,13,Damaged
PO-15286,45,Damaged
PO-66822,18,Incomplete
PO-69201,60,Incomplete
PO-52767,9,Incomplete
PO-46164,14,Good
PO-93917,29,Incomplete
PO-57450,27,Good
PO-61860,85,Incomplete
PO-24647,5,Good
PO-72356,53,Incomplete
PO-97065,56,Incomplete
PO-15609,60,Good
PO-23028,42,Good
PO-40727,46,Incomplete
PO-52303,63,Incomplete
PO-77003,100,Incomplete
PO-57089,57,Incomplete
PO-76239,87,Damaged
PO-58243,58,Damaged
PO-73413,36,Damaged
PO-88589,40,Damaged
PO-42169,86,Good
PO-62943,91,Damaged
PO-45358,89,Damaged
PO-27010,93,Good
PO-35659,67,Incomplete
PO-73238,15,Damaged
PO-90541,53,Incomplete
PO-49356,96,Damaged
PO-76886,73,Good
PO-58676,9,Good
PO-80317,63,Damaged
PO-45685,96,Good
PO-75381,100,Good
PO-14999,68,Damaged
PO-78690,27,Incomplete
PO-98360,85,Damaged
PO-84999,78,Good
PO-27969,17,Incomplete
PO-18398,54,Damaged
PO-26641,47,Good
PO-35356,71,Incomplete
PO-84304,62,Damaged
PO-17422,68,Good
PO-10596,12,Damaged
PO-63352,49,Incomplete
PO-34834,81,Damaged
PO-78307,4,Good
PO-66566,36,Incomplete
PO-79250,11,Damaged
PO-35733,6,Good
PO-95766,2,Damaged
PO-58448,56,Incomplete
PO-22284,14,Good
PO-84151,58,Incomplete
PO-86916,89,Incomplete
PO-22796,37,Incomplete
PO-71311,40,Damaged
PO-51549,11,Incomplete
PO-23330,78,Incomplete
PO-51843,4,Incomplete
PO-23792,23,Damaged
PO-29991,86,Incomplete
PO-18044,36,Good
PO-44935,95,Good
PO-77680,84,Good
PO-79668,86,Good
PO-32613,55,Good
PO-39702,48,Incomplete
PO-19174,95,Damaged
PO-93458,87,Incomplete
PO-85803,83,Incomplete
PO-19952,8,Good
PO-10109,74,Good
PO-61506,46,Incomplete
PO-82469,55,Good
PO-98530,60,Damaged
PO-56122,62,Incomplete
PO-87997,25,Incomplete
PO-54092,48,Good
PO-78520,95,Damaged
PO-68373,40,Good
PO-87951,37,Incomplete
PO-34306,81,Good
PO-81015,68,Good
PO-25895,91,Good
PO-80304,13,Incomplete
PO-69488,90,Damaged
PO-19157,10,Incomplete
PO-76235,50,Damaged
PO-51651,67,Incomplete
PO-17601,65,Good
PO-60057,28,Incomplete
PO-14868,69,Incomplete
PO-21818,60,Damaged
PO-62603,79,Good
PO-37622,99,Incomplete
PO-35362,7,Damaged
PO-81013,19,Damaged
PO-10607,3,Damaged
PO-29866,8,Damaged
PO-56063,93,Damaged
PO-33010,70,Good
PO-97869,74,Damaged
PO-92538,59,Good
PO-30188,50,Incomplete
PO-51580,86,Good
PO-65183,44,Incomplete
PO-35461,48,Damaged
PO-65306,6,Damaged
PO-85171,43,Damaged
PO-74588,3,Incomplete
PO-80155,97,Incomplete
PO-34248,16,Incomplete
PO-80156,53,Damaged
PO-46238,14,Damaged
PO-92924,39,Damaged
PO-66756,16,Incomplete
PO-16640,6,Damaged
PO-43859,32,Damaged
PO-25907,84,Incomplete
PO-47277,16,Good
PO-42221,7,Damaged
PO-78775,100,Good
PO-76581,33,Good
PO-28002,6,Damaged
PO-29124,78,Incomplete
PO-29794,15,Incomplete
PO-91922,40,Damaged
PO-88232,71,Damaged
PO-73591,32,Good
PO-49162,41,Damaged
PO-46771,86,Damaged
PO-28604,3,Damaged
PO-98631,36,Incomplete
PO-83748,50,Damaged
PO-14190,72,Incomplete
PO-80652,16,Incomplete
PO-83734,82,Damaged
PO-49353,97,Good
PO-67776,43,Damaged
PO-60407,28,Damaged
PO-19212,60,Incomplete
PO-91168,33,Incomplete
PO-60983,4,Damaged
PO-19015,68,Damaged
PO-80776,51,Incomplete
PO-69639,41,Damaged
PO-24398,71,Good
PO-15311,14,Incomplete
PO-81449,89,Incomplete
PO-68030,96,Damaged
PO-54051,47,Incomplete
PO-48447,11,Incomplete
PO-45420,82,Incomplete
PO-64977,74,Damaged
PO-50892,35,Incomplete
PO-77339,73,Good
PO-34586,56,Good
PO-15962,44,Incomplete
PO-47175,67,Damaged
PO-71753,8,Good
PO-66001,89,Incomplete
PO-87420,25,Incomplete
PO-17753,3,Good
PO-66353,92,Good
PO-66711,54,Incomplete
PO-27741,79,Damaged
PO-66392,21,Incomplete
PO-72029,14,Good
PO-79602,80,Incomplete
PO-99827,100,Damaged
PO-58503,16,Incomplete
PO-11307,13,Incomplete
PO-98444,28,Incomplete
PO-48404,41,Good
PO-88789,95,Incomplete
PO-30223,53,Good
PO-30141,55,Good
PO-39950,60,Incomplete
PO-64953,81,Damaged
PO-75766,70,Incomplete
PO-66567,15,Damaged
PO-78304,1,Good
PO-20395,90,Incomplete
PO-81887,37,Incomplete
PO-47991,17,Good
PO-52782,79,Damaged
PO-24515,97,Damaged
PO-28342,19,Good
PO-94128,63,Good
PO-39893,17,Damaged
PO-87877,98,Incomplete
PO-81285,83,Damaged
PO-47133,91,Incomplete
PO-27877,62,Damaged
PO-11675,59,Damaged
PO-62594,60,Damaged
PO-11353,86,Damaged
PO-78207,33,Incomplete
PO-57795,24,Damaged
PO-10228,6,Good
PO-11790,14,Good
PO-37715,71,Incomplete
PO-86980,98,Damaged
PO-17662,90,Good
PO-58160,59,Damaged
PO-42568,55,Damaged
PO-19511,19,Good
PO-49778,20,Incomplete
PO-67854,98,Damaged
PO-89605,11,Good
PO-88150,35,Good
PO-78737,41,Damaged
PO-33634,50,Good
PO-28545,23,Damaged
PO-77798,29,Incomplete
PO-91952,44,Good
PO-90893,71,Good
PO-36408,23,Damaged
PO-46096,90,Incomplete
PO-51165,10,Incomplete
PO-47950,81,Damaged
PO-58418,34,Good
PO-44413,48,Incomplete
PO-41138,46,Incomplete
PO-81111,31,Good
PO-74491,100,Damaged
PO-34934,17,Incomplete
PO-75667,59,Damaged
PO-29110,2,Good
PO-93221,63,Incomplete
PO-38612,14,Good
PO-78874,65,Good
PO-63861,93,Incomplete
PO-31937,52,Incomplete
PO-26000,20,Incomplete
PO-74252,14,Good
PO-38891,22,Good
PO-88739,42,Damaged
PO-36020,15,Good
PO-64114,79,Damaged
PO-48013,19,Damaged
PO-56691,87,Damaged
PO-28216,54,Incomplete
PO-61665,65,Good
PO-49125,8,Good
PO-74918,68,Incomplete
PO-17912,97,Damaged
PO-13015,86,Good
PO-69372,39,Damaged
PO-70969,3,Good
PO-58925,7,Damaged
PO-75674,71,Damaged
PO-23884,66,Incomplete
PO-49663,86,Incomplete
PO-92394,28,Incomplete
PO-29038,71,Incomplete
PO-79555,19,Damaged
PO-93179,19,Good
PO-30116,62,Incomplete
PO-41333,27,Incomplete
PO-77562,89,Incomplete
PO-96107,16,Incomplete
PO-22284,26,Incomplete
PO-98412,20,Good
PO-36778,6,Damaged
PO-46722,94,Incomplete
PO-21747,9,Damaged
PO-41635,97,Damaged
PO-67560,66,Incomplete
PO-85257,37,Good
PO-52395,25,Damaged
PO-62287,36,Incomplete
PO-86392,1,Incomplete
PO-22535,11,Good
PO-57827,16,Damaged
PO-11416,52,Good
PO-58333,18,Damaged
PO-54728,80,Damaged
PO-70295,59,Damaged
PO-28941,80,Good
PO-75085,3,Good
