PO Number,Vendor,Item,Unit Price,Quantity,Total Amount
PO-97381,Vendor_16567,Item_46653,3196.15,63,201357.45
PO-54889,Vendor_17848,Item_14548,6665.49,85,566566.65
PO-26504,Vendor_96264,Item_82517,2754.51,8,22036.08
PO-79915,Vendor_13792,Item_37929,1421.81,5,7109.05
PO-53842,Vendor_25135,Item_55208,1701.57,85,144633.45
PO-80881,Vendor_92749,Item_92005,6563.37,2,13126.74
PO-78226,Vendor_69166,Item_94299,7885.51,27,212908.77
PO-40089,Vendor_68963,Item_72677,6032.95,92,555031.4
PO-23361,Vendor_92459,Item_48998,9479.93,21,199078.53
PO-10042,Vendor_66247,Item_90871,6912.44,13,89861.72
PO-43735,Vendor_89091,Item_19763,5190.33,10,51903.3
PO-72431,Vendor_60614,Item_67827,5747.62,40,229904.8
PO-84859,Vendor_95133,Item_98352,155.01,52,8060.52
PO-93388,Vendor_84297,Item_50457,9501.39,95,902632.05
PO-50032,Vendor_86048,Item_45768,5968.59,19,113403.21
PO-25821,Vendor_21635,Item_88867,7665.91,29,222311.39
PO-65352,Vendor_73254,Item_96529,4495.28,48,215773.44
PO-32596,Vendor_34912,Item_54773,5729.92,87,498503.04
PO-52170,Vendor_54599,Item_73760,7790.17,42,327187.14
PO-20766,Vendor_94340,Item_47791,7088.53,27,191390.31
PO-74477,Vendor_17551,Item_93436,451.88,18,8133.84
PO-64203,Vendor_99343,Item_99654,7105.09,96,682088.64
PO-96354,Vendor_76536,Item_20386,882.62,22,19417.64
PO-65256,Vendor_40541,Item_34602,6566.23,31,203553.13
PO-47182,Vendor_45236,Item_68892,1468.84,61,89599.24
PO-89546,Vendor_35929,Item_74012,3680.95,97,357052.15
PO-85574,Vendor_62938,Item_16069,2693.43,83,223554.69
PO-74614,Vendor_90583,Item_99885,8922.9,72,642448.8
PO-39468,Vendor_82014,Item_83926,533.55,31,16540.05
PO-10389,Vendor_67094,Item_68244,5506.57,28,154183.96
PO-36530,Vendor_20866,Item_43138,7339.88,37,271575.56
PO-65923,Vendor_92332,Item_47414,8108.95,29,235159.55
PO-17106,Vendor_94651,Item_36734,1820.25,66,120136.5
PO-14557,Vendor_64780,Item_20153,7506.07,89,668040.23
PO-11247,Vendor_27463,Item_19292,2498.04,60,149882.4
PO-43050,Vendor_69694,Item_82586,2026.63,72,145917.36
PO-20534,Vendor_67908,Item_80411,9966.92,22,219272.24
PO-53982,Vendor_26779,Item_30409,7565.11,55,416081.05
PO-67800,Vendor_13203,Item_55619,3028.96,12,36347.52
PO-50357,Vendor_28050,Item_99300,5435.12,17,92397.04
PO-61039,Vendor_49204,Item_40580,7546.08,85,641416.8
PO-87164,Vendor_63041,Item_28937,5937.39,68,403742.52
PO-22976,Vendor_37278,Item_29017,9146.95,31,283555.45
PO-39828,Vendor_81936,Item_46844,6527.7,14,91387.8
PO-21161,Vendor_11973,Item_46524,451.15,1,451.15
PO-51986,Vendor_50908,Item_63736,8420.7,32,269462.4
PO-80264,Vendor_20679,Item_13569,9328.95,88,820947.6
PO-35202,Vendor_69232,Item_26403,1535.85,69,105973.65
PO-72535,Vendor_49529,Item_46946,7526.82,2,15053.64
PO-86520,Vendor_22688,Item_35678,2146.35,12,25756.2
PO-81402,Vendor_87369,Item_70200,9347.29,49,458017.21
PO-37652,Vendor_55673,Item_16696,1344.19,47,63176.93
PO-39305,Vendor_47145,Item_33422,6572.55,86,565239.3
PO-71895,Vendor_60071,Item_23735,8928.23,17,151779.91
PO-87952,Vendor_22930,Item_96275,1031.57,3,3094.71
PO-87123,Vendor_19922,Item_10956,1213.3,48,58238.4
PO-82166,Vendor_79324,Item_87876,5030.28,33,165999.24
PO-74299,Vendor_88544,Item_90864,2442.77,13,31756.01
PO-22626,Vendor_38211,Item_51106,5438.38,15,81575.7
PO-48100,Vendor_40120,Item_92692,6311.39,92,580647.88
PO-35452,Vendor_62078,Item_50462,96.39,34,3277.26
PO-27418,Vendor_47422,Item_98500,6057.1,27,163541.7
PO-85799,Vendor_17530,Item_84607,9607.2,58,557217.6
PO-80705,Vendor_11494,Item_39074,272.49,88,23979.12
PO-19352,Vendor_54137,Item_75436,5197.19,71,369000.49
PO-57505,Vendor_35039,Item_70989,2154.59,68,146512.12
PO-59311,Vendor_32312,Item_85993,2159.58,27,58308.66
PO-77880,Vendor_32934,Item_60769,3703.42,13,48144.46
PO-18798,Vendor_11939,Item_94144,4449.81,82,364884.42
PO-72538,Vendor_57398,Item_36056,1903.81,96,182765.76
PO-20838,Vendor_38134,Item_16666,7890.24,95,749572.8
PO-31754,Vendor_22890,Item_50634,2582.63,97,250515.11
PO-70633,Vendor_45086,Item_64611,9579.64,60,574778.4
PO-30916,Vendor_94430,Item_23950,7685.64,25,192141.0
PO-23286,Vendor_35569,Item_48563,6159.89,55,338793.95
PO-81594,Vendor_71195,Item_12721,237.77,13,3091.01
PO-97486,Vendor_86439,Item_24388,3279.11,76,249212.36
PO-16243,Vendor_98400,Item_65660,1830.6,10,18306.0
PO-62933,Vendor_47433,Item_46004,3619.99,66,238919.34
PO-36815,Vendor_47163,Item_45774,5537.21,92,509423.32
PO-60336,Vendor_93385,Item_72462,6376.38,18,114774.84
PO-81087,Vendor_34609,Item_78318,1789.99,100,178999.0
PO-29626,Vendor_29885,Item_96851,1513.16,12,18157.92
PO-25487,Vendor_18694,Item_10200,6878.01,93,639654.93
PO-72493,Vendor_87163,Item_20943,2712.78,33,89521.74
PO-35593,Vendor_34635,Item_66082,5483.62,40,219344.8
PO-50555,Vendor_68069,Item_12996,4578.13,83,379984.79
PO-42333,Vendor_88716,Item_41643,5292.19,20,105843.8
PO-69459,Vendor_10359,Item_26114,4944.93,18,89008.74
PO-66634,Vendor_60711,Item_10967,6228.33,15,93424.95
PO-79953,Vendor_60161,Item_46273,2852.17,35,99825.95
PO-81268,Vendor_33807,Item_91542,6450.42,96,619240.32
PO-60955,Vendor_81539,Item_16516,8039.92,90,723592.8
PO-19565,Vendor_47226,Item_21258,859.28,46,39526.88
PO-87908,Vendor_28310,Item_14238,2407.99,61,146887.39
PO-15232,Vendor_37876,Item_70375,5614.52,43,241424.36
PO-48735,Vendor_65920,Item_99871,6580.27,97,638286.19
PO-82786,Vendor_78882,Item_65101,4458.96,42,187276.32
PO-92519,Vendor_30429,Item_54583,3312.77,15,49691.55
PO-84000,Vendor_65857,Item_83624,2980.41,60,178824.6
PO-67619,Vendor_94008,Item_46908,1233.96,10,12339.6
PO-41597,Vendor_45035,Item_55875,5037.69,30,151130.7
PO-54835,Vendor_19826,Item_11562,3992.34,35,139731.9
PO-47701,Vendor_89363,Item_56607,6150.15,40,246006.0
PO-38612,Vendor_93358,Item_76934,5837.25,11,64209.75
PO-72426,Vendor_88831,Item_99405,9684.59,2,19369.18
PO-75054,Vendor_51278,Item_39235,2429.06,44,106878.64
PO-51006,Vendor_97505,Item_32277,6181.82,63,389454.66
PO-18336,Vendor_11185,Item_30275,5839.99,63,367919.37
PO-25078,Vendor_71463,Item_80640,2945.87,95,279857.65
PO-53104,Vendor_52745,Item_43588,7781.56,43,334607.08
PO-96607,Vendor_44273,Item_70588,5891.6,86,506677.6
PO-78053,Vendor_49598,Item_18807,2325.59,52,120930.68
PO-30391,Vendor_89847,Item_13713,6729.51,86,578737.86
PO-56157,Vendor_60570,Item_43807,9420.41,85,800734.85
PO-65674,Vendor_34802,Item_38208,3478.59,18,62614.62
PO-69791,Vendor_79106,Item_93397,9997.55,10,99975.5
PO-57083,Vendor_81445,Item_34857,2432.11,99,240778.89
PO-88304,Vendor_37860,Item_66957,7828.79,78,610645.62
PO-58366,Vendor_20535,Item_41396,8435.01,89,750715.89
PO-58195,Vendor_70205,Item_46437,3117.51,6,18705.06
PO-53965,Vendor_93851,Item_23155,5134.89,21,107832.69
PO-49718,Vendor_10902,Item_19197,7972.95,98,781349.1
PO-66505,Vendor_64221,Item_50106,8536.25,19,162188.75
PO-19755,Vendor_16854,Item_18266,7236.06,31,224317.86
PO-10700,Vendor_53683,Item_85060,4343.89,73,317103.97
PO-64292,Vendor_42154,Item_60170,7227.04,88,635979.52
PO-53510,Vendor_12002,Item_53580,9385.31,86,807136.66
PO-48039,Vendor_66196,Item_96017,1813.95,33,59860.35
PO-64452,Vendor_12596,Item_70835,1811.38,73,132230.74
PO-55740,Vendor_40967,Item_81080,2278.19,22,50120.18
PO-62816,Vendor_66697,Item_24985,3087.55,83,256266.65
PO-48354,Vendor_93642,Item_32179,1646.24,98,161331.52
PO-10897,Vendor_79447,Item_71196,2248.49,86,193370.14
PO-42954,Vendor_37465,Item_49110,8172.12,60,490327.2
PO-42955,Vendor_80968,Item_44849,6890.21,50,344510.5
PO-13526,Vendor_38739,Item_78169,2098.15,91,190931.65
PO-61526,Vendor_78028,Item_48730,9971.83,36,358985.88
PO-68295,Vendor_67945,Item_28674,8039.89,73,586911.97
PO-77076,Vendor_48022,Item_56827,8198.71,90,737883.9
PO-34435,Vendor_19698,Item_78985,7807.98,94,733950.12
PO-55757,Vendor_91267,Item_16791,8327.38,13,108255.94
PO-45694,Vendor_38386,Item_38689,3853.19,32,123302.08
PO-69976,Vendor_11934,Item_46698,1696.98,60,101818.8
PO-54830,Vendor_79035,Item_91959,5503.57,46,253164.22
PO-44630,Vendor_44568,Item_26524,4889.78,47,229819.66
PO-15056,Vendor_49793,Item_93588,3699.23,11,40691.53
PO-16249,Vendor_21526,Item_61611,6928.75,57,394938.75
PO-40764,Vendor_62655,Item_77024,2515.02,1,2515.02
PO-56244,Vendor_47970,Item_85916,6454.03,16,103264.48
PO-73663,Vendor_93995,Item_82177,8744.39,72,629596.08
PO-18913,Vendor_20879,Item_29670,2165.54,31,67131.74
PO-99461,Vendor_40227,Item_78113,8731.45,48,419109.6
PO-79118,Vendor_67770,Item_88490,878.93,48,42188.64
PO-87799,Vendor_74637,Item_87304,2218.63,42,93182.46
PO-60165,Vendor_54275,Item_51886,1568.99,77,120812.23
PO-26469,Vendor_32822,Item_20847,4578.88,40,183155.2
PO-25319,Vendor_65112,Item_91466,743.08,12,8916.96
PO-73883,Vendor_66499,Item_58165,3485.62,81,282335.22
PO-20532,Vendor_18124,Item_79232,2514.46,100,251446.0
PO-86755,Vendor_18730,Item_47498,4456.96,17,75768.32
PO-38857,Vendor_54878,Item_27032,1389.73,5,6948.65
PO-78518,Vendor_79190,Item_46335,3673.77,96,352681.92
PO-82001,Vendor_92250,Item_70574,1032.19,74,76382.06
PO-32712,Vendor_99178,Item_94826,7482.91,85,636047.35
PO-77995,Vendor_10323,Item_82128,4434.59,40,177383.6
PO-43160,Vendor_23066,Item_44364,5643.72,87,491003.64
PO-41356,Vendor_61771,Item_70007,3278.23,40,131129.2
PO-56581,Vendor_24564,Item_72193,9769.06,46,449376.76
PO-31161,Vendor_94871,Item_99692,110.57,62,6855.34
PO-10818,Vendor_30790,Item_69038,546.41,90,49176.9
PO-38877,Vendor_95516,Item_35685,4125.77,74,305306.98
PO-46329,Vendor_68720,Item_25747,5984.47,53,317176.91
PO-14726,Vendor_96081,Item_95532,8505.86,5,42529.3
PO-99116,Vendor_40181,Item_64828,7830.77,46,360215.42
PO-63405,Vendor_82575,Item_90930,7742.63,21,162595.23
PO-42933,Vendor_29691,Item_61300,1234.79,98,121009.42
PO-11009,Vendor_45709,Item_35220,3808.8,14,53323.2
PO-49232,Vendor_23970,Item_16080,3298.91,98,323293.18
PO-81478,Vendor_45816,Item_69925,6149.76,76,467381.76
PO-23295,Vendor_97416,Item_87905,4337.64,90,390387.6
PO-11356,Vendor_80895,Item_72107,9855.95,75,739196.25
PO-72976,Vendor_36344,Item_69176,2387.61,40,95504.4
PO-50456,Vendor_97952,Item_56210,9727.15,31,301541.65
PO-21390,Vendor_96146,Item_62020,1697.2,9,15274.8
PO-65446,Vendor_67343,Item_35957,4444.76,3,13334.28
PO-19802,Vendor_14238,Item_80696,3794.59,89,337718.51
PO-67831,Vendor_63368,Item_59696,414.79,46,19080.34
PO-14377,Vendor_85113,Item_89040,7135.96,78,556604.88
PO-32927,Vendor_27955,Item_15635,9626.92,60,577615.2
PO-27926,Vendor_76582,Item_63516,997.06,37,36891.22
PO-56436,Vendor_58168,Item_83030,3490.6,88,307172.8
PO-83550,Vendor_42321,Item_89094,9170.52,25,229263.0
PO-52523,Vendor_21924,Item_54854,5379.56,8,43036.48
PO-65939,Vendor_68812,Item_67349,6401.14,42,268847.88
PO-56931,Vendor_13585,Item_62130,6883.19,82,564421.58
PO-65405,Vendor_15241,Item_25261,4254.51,86,365887.86
PO-84390,Vendor_75043,Item_75622,7719.27,26,200701.02
PO-63197,Vendor_76788,Item_97701,7978.72,54,430850.88
PO-85949,Vendor_12093,Item_29185,2810.94,100,281094.0
PO-92032,Vendor_59580,Item_95959,5605.93,87,487715.91
PO-14704,Vendor_92111,Item_34481,1836.04,76,139539.04
PO-97939,Vendor_52228,Item_93554,21.59,65,1403.35
PO-71129,Vendor_80325,Item_97472,8222.65,30,246679.5
PO-26878,Vendor_57430,Item_27827,2550.04,82,209103.28
PO-13197,Vendor_94072,Item_84924,6691.72,7,46842.04
PO-97119,Vendor_75898,Item_99551,1586.91,41,65063.31
PO-81824,Vendor_93003,Item_46114,9813.07,94,922428.58
PO-70284,Vendor_88262,Item_31763,65.82,41,2698.62
PO-30645,Vendor_11337,Item_31099,6674.94,66,440546.04
PO-31886,Vendor_31350,Item_69556,5039.15,50,251957.5
PO-77949,Vendor_48724,Item_56541,4928.04,12,59136.48
PO-64209,Vendor_82628,Item_69872,5349.04,19,101631.76
PO-23704,Vendor_41262,Item_16398,8989.92,21,188788.32
PO-93399,Vendor_31725,Item_46765,8845.9,57,504216.3
PO-56230,Vendor_32431,Item_22246,3566.58,30,106997.4
PO-67386,Vendor_52738,Item_36189,4024.61,89,358190.29
PO-59812,Vendor_96994,Item_35400,5079.17,73,370779.41
PO-62312,Vendor_93752,Item_78682,1464.74,56,82025.44
PO-76458,Vendor_32414,Item_50501,6605.81,18,118904.58
PO-35417,Vendor_11771,Item_70802,314.27,42,13199.34
PO-52327,Vendor_71652,Item_67014,3134.58,97,304054.26
PO-39106,Vendor_60057,Item_84426,4393.5,15,65902.5
PO-81097,Vendor_92433,Item_15934,1264.27,23,29078.21
PO-31517,Vendor_73319,Item_50776,7767.63,3,23302.89
PO-76458,Vendor_20608,Item_36249,5049.23,86,434233.78
PO-93871,Vendor_47894,Item_53048,4233.98,50,211699.0
PO-53354,Vendor_79015,Item_70275,5282.21,14,73950.94
PO-23729,Vendor_56705,Item_96336,5444.14,15,81662.1
PO-64588,Vendor_23821,Item_46866,5117.2,78,399141.6
PO-76841,Vendor_32728,Item_77135,9059.4,87,788167.8
PO-39255,Vendor_28462,Item_83464,6544.3,85,556265.5
PO-91509,Vendor_84078,Item_73661,6497.58,37,240410.46
PO-47999,Vendor_91484,Item_86778,3920.77,49,192117.73
PO-28312,Vendor_52699,Item_17692,5175.45,78,403685.1
PO-65628,Vendor_40299,Item_30042,7427.88,74,549663.12
PO-11516,Vendor_42538,Item_36104,8017.64,39,312687.96
PO-71690,Vendor_44696,Item_63182,330.42,6,1982.52
PO-78250,Vendor_51406,Item_31170,7109.7,90,639873.0
PO-49203,Vendor_81267,Item_21570,8838.83,94,830850.02
PO-44858,Vendor_16426,Item_33941,9932.94,85,844299.9
PO-15718,Vendor_58009,Item_49984,4362.91,15,65443.65
PO-43066,Vendor_78854,Item_19538,4333.2,13,56331.6
PO-44946,Vendor_27276,Item_81020,8574.9,31,265821.9
PO-66659,Vendor_12581,Item_63689,3356.89,1,3356.89
PO-24426,Vendor_38965,Item_79010,5591.48,100,559148.0
PO-47523,Vendor_68778,Item_22508,2088.6,89,185885.4
PO-40804,Vendor_13436,Item_85579,8980.99,91,817270.09
PO-48983,Vendor_41271,Item_84746,2371.13,48,113814.24
PO-72984,Vendor_55949,Item_73279,6479.97,79,511917.63
PO-95563,Vendor_49840,Item_65864,1859.71,59,109722.89
PO-79850,Vendor_14375,Item_42394,3813.61,19,72458.59
PO-82988,Vendor_60529,Item_77345,2862.92,24,68710.08
PO-94088,Vendor_84438,Item_55719,3893.66,42,163533.72
PO-17112,Vendor_58149,Item_32259,5270.03,20,105400.6
PO-76342,Vendor_93239,Item_33787,3426.6,89,304967.4
PO-74612,Vendor_90092,Item_80024,4433.64,29,128575.56
PO-96177,Vendor_19313,Item_90362,33.33,22,733.26
PO-68361,Vendor_15344,Item_39629,3758.23,58,217977.34
PO-15571,Vendor_29087,Item_74970,9617.13,86,827073.18
PO-69724,Vendor_40790,Item_36468,8582.23,45,386200.35
PO-51876,Vendor_61094,Item_24432,199.71,52,10384.92
PO-97341,Vendor_24072,Item_67410,1589.58,15,23843.7
PO-75179,Vendor_35824,Item_13860,3857.55,84,324034.2
PO-51671,Vendor_58876,Item_32661,4440.09,48,213124.32
PO-50708,Vendor_25538,Item_10565,95.7,63,6029.1
PO-93252,Vendor_17598,Item_70828,1992.22,88,175315.36
PO-32193,Vendor_70030,Item_87105,9963.79,60,597827.4
PO-81331,Vendor_80728,Item_94271,3836.61,5,19183.05
PO-49408,Vendor_34149,Item_58293,4882.53,87,424780.11
PO-59459,Vendor_79066,Item_96725,9351.03,51,476902.53
PO-52337,Vendor_72899,Item_44757,1099.43,3,3298.29
PO-20215,Vendor_37186,Item_32997,2343.2,43,100757.6
PO-58812,Vendor_54184,Item_70111,8414.9,55,462819.5
PO-45556,Vendor_37255,Item_65106,494.73,94,46504.62
PO-34192,Vendor_10029,Item_91500,7575.16,90,681764.4
PO-17228,Vendor_86947,Item_43684,8233.03,49,403418.47
PO-25146,Vendor_86528,Item_81684,3193.79,31,99007.49
PO-85824,Vendor_47742,Item_11748,2339.1,32,74851.2
PO-28239,Vendor_87717,Item_69326,7254.53,36,261163.08
PO-71633,Vendor_27195,Item_71223,2201.41,79,173911.39
PO-84721,Vendor_34481,Item_79044,4996.31,89,444671.59
PO-46708,Vendor_93962,Item_39742,4823.69,46,221889.74
PO-27558,Vendor_21389,Item_27160,621.72,16,9947.52
PO-77577,Vendor_61726,Item_23203,1915.87,41,78550.67
PO-68123,Vendor_69353,Item_34147,1892.8,37,70033.6
PO-28214,Vendor_13244,Item_57077,8464.38,35,296253.3
PO-97996,Vendor_51643,Item_42514,9918.53,31,307474.43
PO-70329,Vendor_96676,Item_23463,7162.07,12,85944.84
PO-53224,Vendor_43778,Item_89872,1506.38,72,108459.36
PO-45640,Vendor_30372,Item_87015,6347.18,63,399872.34
PO-50357,Vendor_53710,Item_49730,6908.14,24,165795.36
PO-74285,Vendor_58455,Item_64101,5158.64,70,361104.8
PO-21745,Vendor_81496,Item_84114,5584.81,20,111696.2
PO-22715,Vendor_63525,Item_62683,9308.25,83,772584.75
PO-10388,Vendor_65157,Item_91700,3612.53,92,332352.76
PO-12834,Vendor_72639,Item_26691,5721.84,78,446303.52
PO-27600,Vendor_26698,Item_12463,5134.11,26,133486.86
PO-63408,Vendor_74398,Item_85578,4251.56,70,297609.2
PO-98303,Vendor_38542,Item_89177,6837.11,20,136742.2
PO-25018,Vendor_46020,Item_71687,9970.15,89,887343.35
PO-21350,Vendor_62347,Item_88060,6182.06,52,321467.12
PO-21327,Vendor_11431,Item_12955,9489.63,87,825597.81
PO-78962,Vendor_52482,Item_51054,3687.59,26,95877.34
PO-55491,Vendor_51198,Item_74802,2068.11,79,163380.69
PO-26792,Vendor_12067,Item_47174,5793.48,3,17380.44
PO-62673,Vendor_90614,Item_57686,5732.95,1,5732.95
PO-56086,Vendor_75955,Item_77430,2627.76,49,128760.24
PO-12295,Vendor_39824,Item_52475,9899.97,70,692997.9
PO-18299,Vendor_58879,Item_72933,3604.46,37,133365.02
PO-16949,Vendor_16882,Item_59868,2805.96,88,246924.48
PO-73567,Vendor_55600,Item_57025,7795.25,21,163700.25
PO-80663,Vendor_70451,Item_26986,448.79,10,4487.9
PO-89035,Vendor_95223,Item_13451,9241.86,62,572995.32
PO-23690,Vendor_89272,Item_84819,5413.52,94,508870.88
PO-73819,Vendor_38445,Item_78593,2851.02,22,62722.44
PO-32159,Vendor_91225,Item_73976,1727.66,90,155489.4
PO-10139,Vendor_62283,Item_21129,9941.78,50,497089.0
PO-78769,Vendor_47346,Item_42574,959.85,2,1919.7
PO-72938,Vendor_67341,Item_96607,7453.17,76,566440.92
PO-50275,Vendor_20265,Item_67489,4363.99,22,96007.78
PO-97995,Vendor_45456,Item_94047,7732.69,42,324772.98
PO-75818,Vendor_28350,Item_83832,7939.29,73,579568.17
PO-99829,Vendor_22004,Item_82609,9658.14,40,386325.6
PO-85457,Vendor_43218,Item_85121,7810.08,41,320213.28
PO-96961,Vendor_77259,Item_84800,8202.66,97,795658.02
PO-74638,Vendor_63934,Item_65251,1964.84,69,135573.96
PO-52348,Vendor_51150,Item_10665,2817.94,35,98627.9
PO-95628,Vendor_47462,Item_79463,1255.01,56,70280.56
PO-94652,Vendor_88922,Item_43951,5038.47,92,463539.24
PO-58812,Vendor_32475,Item_37176,610.16,11,6711.76
PO-48835,Vendor_47953,Item_41922,461.5,48,22152.0
PO-32955,Vendor_13494,Item_31543,6593.69,46,303309.74
PO-33272,Vendor_97876,Item_38029,9503.76,31,294616.56
PO-20045,Vendor_74565,Item_22411,9201.75,52,478491.0
PO-76111,Vendor_44702,Item_81153,2538.25,34,86300.5
PO-21788,Vendor_89185,Item_51184,6139.66,60,368379.6
PO-16304,Vendor_62811,Item_78892,8761.02,87,762208.74
PO-80889,Vendor_59898,Item_75325,8606.83,48,413127.84
PO-36244,Vendor_50064,Item_77184,7235.09,59,426870.31
PO-17178,Vendor_57814,Item_96199,3462.66,8,27701.28
PO-35385,Vendor_63776,Item_38448,9634.44,51,491356.44
PO-33547,Vendor_66174,Item_72369,8351.87,85,709908.95
PO-46476,Vendor_26724,Item_75699,12.33,72,887.76
PO-95827,Vendor_33554,Item_41438,3282.23,43,141135.89
PO-66832,Vendor_86790,Item_69639,2568.43,73,187495.39
PO-85154,Vendor_77975,Item_53974,2602.72,31,80684.32
PO-22346,Vendor_43560,Item_38881,1821.54,64,116578.56
PO-42155,Vendor_41105,Item_62250,7837.19,43,336999.17
PO-57579,Vendor_11126,Item_98935,8883.86,27,239864.22
PO-22758,Vendor_60286,Item_67020,3437.24,33,113428.92
