Invoice Number,Vendor,PO Number,Invoice Date,Total Amount
INV-38982,Vendor_82727,PO-98441,"April 15, 2024",26567.52
INV-85068,Vendor_45295,PO-24936,"May 04, 2024",16171.3
INV-33146,Vendor_62701,PO-38538,"April 12, 2024",62701.71
INV-43393,Vendor_81228,PO-70626,"April 19, 2024",90217.23
INV-92936,Vendor_41847,PO-59270,"April 16, 2024",66233.86
INV-55465,Vendor_65786,PO-68406,"April 24, 2024",14894.78
INV-86061,Vendor_92329,PO-67294,"April 16, 2024",63412.81
INV-10753,Vendor_10279,PO-83726,"April 17, 2024",14527.8
INV-25410,Vendor_72855,PO-87205,"April 09, 2024",33245.15
INV-68563,Vendor_45132,PO-81253,"April 13, 2024",17176.97
INV-68918,Vendor_95174,PO-39839,"April 26, 2024",14577.62
INV-53627,Vendor_82202,PO-83017,"May 02, 2024",22788.15
INV-56829,Vendor_94730,PO-67364,"April 17, 2024",58122.39
INV-50069,Vendor_76685,PO-34293,"April 22, 2024",16631.92
INV-23052,Vendor_20721,PO-35308,"April 11, 2024",79274.32
INV-29225,Vendor_30183,PO-67439,"April 29, 2024",54177.91
INV-12656,Vendor_71858,PO-13219,"April 23, 2024",19488.27
INV-13009,Vendor_87285,PO-49730,"May 04, 2024",96800.69
INV-82413,Vendor_99203,PO-87241,"April 30, 2024",60768.33
INV-41291,Vendor_36784,PO-70736,"May 02, 2024",45122.18
INV-99522,Vendor_44745,PO-89588,"May 01, 2024",53050.7
INV-76263,Vendor_26826,PO-41645,"April 28, 2024",37456.3
INV-76653,Vendor_71426,PO-69428,"April 12, 2024",39524.25
INV-83499,Vendor_94419,PO-40736,"April 23, 2024",7454.29
INV-35035,Vendor_23863,PO-37312,"April 25, 2024",50850.09
INV-29620,Vendor_10813,PO-13784,"April 27, 2024",32485.45
INV-74101,Vendor_85138,PO-12597,"April 30, 2024",95144.27
INV-14527,Vendor_93622,PO-17920,"April 24, 2024",79687.26
INV-51089,Vendor_71859,PO-90150,"April 15, 2024",91254.2
INV-59108,Vendor_88387,PO-69648,"April 19, 2024",74496.95
INV-86031,Vendor_15422,PO-78248,"April 12, 2024",37892.55
INV-66361,Vendor_18752,PO-37653,"April 07, 2024",70526.04
INV-24341,Vendor_10991,PO-62236,"April 19, 2024",86158.12
INV-91971,Vendor_67389,PO-19811,"May 05, 2024",78644.31
INV-94752,Vendor_73761,PO-41844,"April 24, 2024",31010.57
INV-43612,Vendor_67845,PO-38423,"April 24, 2024",64643.03
INV-40993,Vendor_31345,PO-71583,"April 26, 2024",71213.95
INV-64248,Vendor_87813,PO-61948,"April 07, 2024",55953.05
INV-40226,Vendor_74198,PO-64483,"April 23, 2024",62317.3
INV-62881,Vendor_17177,PO-97294,"April 22, 2024",70344.84
INV-39789,Vendor_67254,PO-54443,"April 12, 2024",13431.7
INV-76625,Vendor_62129,PO-82997,"April 29, 2024",36534.37
INV-57561,Vendor_10444,PO-99435,"April 19, 2024",84302.22
INV-77189,Vendor_44379,PO-39838,"May 03, 2024",89650.38
INV-39809,Vendor_82051,PO-82962,"April 21, 2024",63739.45
INV-38413,Vendor_85915,PO-79007,"April 22, 2024",24495.67
INV-50333,Vendor_49020,PO-22000,"April 13, 2024",71568.96
INV-84540,Vendor_77174,PO-27178,"April 19, 2024",27291.52
INV-17472,Vendor_54769,PO-56833,"April 26, 2024",32943.02
INV-84382,Vendor_19838,PO-43600,"April 11, 2024",65667.39
INV-23425,Vendor_43113,PO-70383,"April 08, 2024",16924.05
INV-94482,Vendor_43475,PO-92147,"April 15, 2024",4005.35
INV-42277,Vendor_79854,PO-84193,"April 13, 2024",19184.11
INV-27505,Vendor_24176,PO-93659,"April 21, 2024",99624.42
INV-66213,Vendor_98037,PO-31230,"April 22, 2024",2101.01
INV-95612,Vendor_79879,PO-46890,"April 19, 2024",45949.82
INV-19301,Vendor_42043,PO-24320,"May 05, 2024",58593.24
INV-87867,Vendor_75725,PO-52606,"May 01, 2024",327.06
INV-29812,Vendor_26810,PO-15890,"April 22, 2024",22013.81
INV-78508,Vendor_57624,PO-31411,"April 19, 2024",76320.77
INV-78368,Vendor_20626,PO-19199,"May 01, 2024",3934.07
INV-81358,Vendor_67832,PO-69583,"April 11, 2024",85793.52
INV-24401,Vendor_42324,PO-21757,"May 03, 2024",81887.91
INV-41696,Vendor_65831,PO-22767,"May 05, 2024",75805.32
INV-83302,Vendor_88696,PO-48283,"April 24, 2024",79905.87
INV-68478,Vendor_99783,PO-92335,"April 19, 2024",5810.99
INV-49744,Vendor_55645,PO-60085,"April 21, 2024",64560.92
INV-99523,Vendor_62635,PO-89245,"April 30, 2024",20238.52
INV-23283,Vendor_44258,PO-78124,"May 03, 2024",25734.26
INV-89599,Vendor_59952,PO-80787,"April 18, 2024",68639.98
INV-52234,Vendor_70432,PO-98272,"April 30, 2024",70703.14
INV-48692,Vendor_33647,PO-97241,"April 28, 2024",31443.1
INV-94295,Vendor_35399,PO-53029,"April 19, 2024",32452.53
INV-66537,Vendor_33469,PO-49035,"April 22, 2024",9613.86
INV-69814,Vendor_80963,PO-58304,"April 26, 2024",55902.5
INV-56597,Vendor_73394,PO-84057,"April 07, 2024",89562.97
INV-59360,Vendor_60776,PO-31053,"April 23, 2024",48469.38
INV-34797,Vendor_15791,PO-55936,"April 14, 2024",70032.86
INV-35739,Vendor_77379,PO-47551,"May 05, 2024",9487.22
INV-63401,Vendor_60037,PO-71303,"April 10, 2024",18676.39
INV-63463,Vendor_17809,PO-15187,"April 15, 2024",54697.16
INV-12440,Vendor_64939,PO-78498,"April 24, 2024",35807.48
INV-70327,Vendor_90844,PO-57180,"May 04, 2024",9076.41
INV-70996,Vendor_47532,PO-39469,"April 23, 2024",41808.85
INV-55379,Vendor_41759,PO-46536,"May 04, 2024",15511.18
INV-13439,Vendor_68439,PO-24756,"April 21, 2024",79497.57
INV-83312,Vendor_24089,PO-75285,"April 13, 2024",71392.58
INV-56757,Vendor_40890,PO-39265,"April 28, 2024",87773.23
INV-26090,Vendor_87864,PO-86693,"April 18, 2024",39662.91
INV-19611,Vendor_53764,PO-36536,"April 14, 2024",54026.66
INV-89803,Vendor_40277,PO-90413,"May 05, 2024",74762.64
INV-91128,Vendor_12445,PO-76084,"April 23, 2024",52337.76
INV-18793,Vendor_53067,PO-25153,"May 04, 2024",36369.79
INV-53611,Vendor_96980,PO-48619,"April 10, 2024",99831.5
INV-79028,Vendor_59601,PO-87888,"April 15, 2024",90391.07
INV-72051,Vendor_24793,PO-43120,"May 04, 2024",5783.62
INV-98974,Vendor_68255,PO-41102,"May 05, 2024",32674.61
INV-45840,Vendor_30205,PO-18028,"April 08, 2024",42667.22
INV-45828,Vendor_54336,PO-59627,"April 22, 2024",73384.07
INV-61265,Vendor_78043,PO-42074,"April 22, 2024",54610.15
INV-36197,Vendor_61670,PO-28101,"April 29, 2024",54455.25
INV-81936,Vendor_92128,PO-56259,"April 08, 2024",89715.91
INV-23638,Vendor_14048,PO-20074,"May 02, 2024",8614.21
INV-49399,Vendor_96355,PO-93514,"May 03, 2024",38696.98
INV-78931,Vendor_76252,PO-90100,"May 03, 2024",99354.39
INV-75698,Vendor_58411,PO-95308,"April 10, 2024",32054.8
INV-39376,Vendor_78848,PO-33248,"April 10, 2024",8388.11
INV-53688,Vendor_67306,PO-35032,"April 15, 2024",5891.58
INV-69636,Vendor_85726,PO-49752,"April 29, 2024",5099.5
INV-79592,Vendor_28436,PO-68823,"May 04, 2024",6404.15
INV-10783,Vendor_34827,PO-15735,"April 29, 2024",21651.57
INV-18401,Vendor_28870,PO-41271,"April 29, 2024",38875.83
INV-79395,Vendor_51347,PO-83801,"April 14, 2024",57418.7
INV-54209,Vendor_37480,PO-25954,"April 14, 2024",21400.97
INV-23878,Vendor_34174,PO-51256,"May 02, 2024",5758.76
INV-22791,Vendor_36378,PO-64805,"May 01, 2024",3870.22
INV-46621,Vendor_68970,PO-64266,"April 20, 2024",59109.11
INV-65160,Vendor_74457,PO-64865,"May 03, 2024",20399.06
INV-21610,Vendor_70927,PO-35775,"April 22, 2024",88187.89
INV-30890,Vendor_19103,PO-86667,"April 22, 2024",87743.01
INV-75393,Vendor_67197,PO-90377,"April 25, 2024",61599.17
INV-56510,Vendor_86504,PO-97013,"April 07, 2024",42122.42
INV-39871,Vendor_31200,PO-24871,"April 11, 2024",22196.9
INV-98209,Vendor_50323,PO-18324,"April 14, 2024",30041.36
INV-12420,Vendor_69777,PO-93005,"April 27, 2024",56680.21
INV-45119,Vendor_67548,PO-58875,"April 11, 2024",16558.76
INV-41887,Vendor_48032,PO-20945,"April 17, 2024",26315.76
INV-75000,Vendor_61576,PO-90197,"April 20, 2024",94518.87
INV-22993,Vendor_84313,PO-66050,"April 15, 2024",20993.74
INV-17562,Vendor_84969,PO-52379,"April 27, 2024",73526.71
INV-56278,Vendor_19143,PO-56007,"May 02, 2024",54184.05
INV-11660,Vendor_35667,PO-72673,"April 24, 2024",76856.41
INV-16256,Vendor_30628,PO-32564,"April 08, 2024",61759.3
INV-36159,Vendor_60155,PO-92404,"April 11, 2024",59306.23
INV-34760,Vendor_92190,PO-73370,"April 23, 2024",54373.45
INV-64970,Vendor_51266,PO-74937,"April 12, 2024",10060.31
INV-60137,Vendor_33544,PO-72979,"April 30, 2024",19773.15
INV-80799,Vendor_36307,PO-32201,"April 21, 2024",22036.16
INV-38880,Vendor_10559,PO-75875,"April 22, 2024",38193.94
INV-89248,Vendor_90495,PO-62212,"April 28, 2024",60114.36
INV-36815,Vendor_74606,PO-92175,"April 23, 2024",7139.32
INV-84294,Vendor_33623,PO-92042,"April 08, 2024",3841.91
INV-95300,Vendor_20160,PO-85438,"May 03, 2024",82702.11
INV-44230,Vendor_62677,PO-45513,"April 27, 2024",26581.48
INV-39479,Vendor_44996,PO-99011,"April 07, 2024",73542.29
INV-93141,Vendor_17331,PO-85558,"April 16, 2024",98968.65
INV-37568,Vendor_52619,PO-77681,"April 09, 2024",53246.56
INV-83367,Vendor_42470,PO-15651,"April 27, 2024",21079.32
INV-15347,Vendor_54288,PO-41435,"May 05, 2024",99361.63
INV-83640,Vendor_99806,PO-96406,"May 04, 2024",23966.98
INV-39718,Vendor_82991,PO-94023,"May 06, 2024",44367.99
INV-10936,Vendor_63702,PO-33060,"April 17, 2024",34657.72
INV-92908,Vendor_74313,PO-14025,"April 17, 2024",72541.28
INV-96812,Vendor_25871,PO-71707,"April 19, 2024",33119.5
INV-78694,Vendor_22463,PO-85206,"April 14, 2024",48485.7
INV-80156,Vendor_49365,PO-60300,"April 19, 2024",56004.11
INV-15920,Vendor_40798,PO-44154,"May 04, 2024",97801.02
INV-13178,Vendor_19133,PO-95577,"April 09, 2024",55700.42
INV-39161,Vendor_48475,PO-38278,"April 19, 2024",32931.22
INV-87327,Vendor_73534,PO-33269,"May 06, 2024",10496.17
INV-46799,Vendor_53379,PO-17789,"May 06, 2024",99876.37
INV-54919,Vendor_42059,PO-93967,"April 13, 2024",41836.39
INV-19602,Vendor_17752,PO-42531,"April 18, 2024",56222.64
INV-87907,Vendor_54881,PO-50204,"April 21, 2024",7613.17
INV-79971,Vendor_43277,PO-37207,"May 01, 2024",12564.98
INV-18814,Vendor_82177,PO-37333,"May 03, 2024",38411.27
INV-31897,Vendor_68295,PO-81546,"April 12, 2024",23753.17
INV-18065,Vendor_48953,PO-70541,"April 25, 2024",51550.92
INV-85692,Vendor_22580,PO-53417,"April 21, 2024",25721.79
INV-62766,Vendor_69621,PO-76642,"April 17, 2024",37055.48
INV-49744,Vendor_51967,PO-43481,"April 22, 2024",62534.09
INV-78589,Vendor_85912,PO-51029,"April 18, 2024",83392.12
INV-23290,Vendor_21496,PO-32247,"April 14, 2024",97181.99
INV-81451,Vendor_22885,PO-45841,"April 18, 2024",7236.13
INV-90866,Vendor_13431,PO-25927,"April 24, 2024",55504.88
INV-29260,Vendor_66858,PO-32251,"April 24, 2024",4002.51
INV-50240,Vendor_89469,PO-29873,"May 02, 2024",54515.81
INV-99238,Vendor_23426,PO-60566,"May 02, 2024",78007.27
INV-70461,Vendor_15868,PO-25174,"April 27, 2024",85499.42
INV-96968,Vendor_13199,PO-61469,"May 02, 2024",82142.43
INV-79051,Vendor_56444,PO-52623,"April 29, 2024",90870.73
INV-42049,Vendor_74162,PO-15814,"April 25, 2024",7035.04
INV-39785,Vendor_23991,PO-76806,"May 02, 2024",53645.05
INV-38952,Vendor_38823,PO-27593,"April 18, 2024",10128.37
INV-73145,Vendor_81510,PO-21045,"April 11, 2024",48486.06
INV-34848,Vendor_82423,PO-41675,"April 09, 2024",56730.01
INV-80804,Vendor_80082,PO-20715,"May 05, 2024",26767.14
INV-20446,Vendor_39688,PO-71398,"May 02, 2024",45746.76
INV-90137,Vendor_12584,PO-88359,"April 22, 2024",52797.06
INV-33945,Vendor_82001,PO-81795,"April 11, 2024",84688.63
INV-72460,Vendor_21676,PO-42780,"April 17, 2024",71594.22
INV-93791,Vendor_52603,PO-82627,"April 08, 2024",20204.82
INV-63654,Vendor_91796,PO-52468,"April 29, 2024",90048.2
INV-47027,Vendor_19102,PO-35300,"April 13, 2024",22389.45
INV-43151,Vendor_91541,PO-40981,"April 27, 2024",37763.65
INV-84599,Vendor_14474,PO-26273,"April 08, 2024",67442.85
INV-83207,Vendor_84767,PO-96799,"April 07, 2024",35917.44
INV-93819,Vendor_17477,PO-40831,"April 19, 2024",16474.32
INV-58589,Vendor_36821,PO-98616,"May 03, 2024",8303.19
INV-33265,Vendor_12118,PO-36126,"May 06, 2024",602.35
INV-74061,Vendor_71870,PO-91840,"April 20, 2024",46730.5
INV-37703,Vendor_92413,PO-34653,"April 16, 2024",89264.76
INV-57004,Vendor_82191,PO-48286,"April 21, 2024",7238.42
INV-16306,Vendor_25184,PO-64927,"April 22, 2024",21864.08
INV-98018,Vendor_99783,PO-75594,"April 19, 2024",28126.36
INV-46242,Vendor_54274,PO-95450,"May 04, 2024",38182.2
INV-58401,Vendor_86156,PO-42707,"April 25, 2024",25662.11
INV-64612,Vendor_28142,PO-12441,"April 17, 2024",64164.48
INV-23557,Vendor_58043,PO-93277,"April 16, 2024",32540.49
INV-16352,Vendor_19702,PO-66928,"April 21, 2024",73968.35
INV-53596,Vendor_61064,PO-63223,"April 29, 2024",76709.85
INV-77825,Vendor_99836,PO-50243,"April 17, 2024",37985.32
INV-86083,Vendor_85243,PO-31215,"April 12, 2024",82334.55
INV-59937,Vendor_51540,PO-77796,"April 07, 2024",95737.3
INV-34728,Vendor_68589,PO-80570,"April 16, 2024",46332.09
INV-37726,Vendor_75880,PO-50779,"April 26, 2024",65602.02
INV-37677,Vendor_48158,PO-93781,"April 10, 2024",77907.92
INV-75809,Vendor_13071,PO-34664,"April 08, 2024",68397.64
INV-69295,Vendor_37285,PO-49981,"April 17, 2024",71673.21
INV-60562,Vendor_17664,PO-99581,"April 09, 2024",12693.48
INV-11074,Vendor_15487,PO-92434,"April 08, 2024",49777.83
INV-26238,Vendor_58338,PO-86595,"April 09, 2024",50717.96
INV-71817,Vendor_33245,PO-76323,"April 09, 2024",56222.09
INV-57574,Vendor_46380,PO-15716,"April 27, 2024",79602.44
INV-63588,Vendor_71277,PO-15923,"April 11, 2024",45849.69
INV-41300,Vendor_84626,PO-62263,"April 19, 2024",7051.21
INV-43245,Vendor_46068,PO-65941,"April 07, 2024",94243.97
INV-25733,Vendor_48079,PO-70757,"April 10, 2024",10746.12
INV-62010,Vendor_44000,PO-65083,"April 12, 2024",34974.2
INV-58820,Vendor_86336,PO-61704,"April 28, 2024",74408.13
INV-50617,Vendor_41906,PO-58918,"April 14, 2024",52748.48
INV-62618,Vendor_99562,PO-36441,"April 25, 2024",46393.69
INV-67165,Vendor_76024,PO-15786,"April 20, 2024",86909.6
INV-37846,Vendor_95360,PO-12189,"May 06, 2024",91775.85
INV-44908,Vendor_67991,PO-49489,"April 20, 2024",65513.18
INV-61426,Vendor_12258,PO-30439,"April 13, 2024",25546.05
INV-46756,Vendor_41316,PO-57959,"April 24, 2024",82331.61
INV-53529,Vendor_36975,PO-53517,"May 01, 2024",37663.82
INV-44401,Vendor_57444,PO-68033,"April 13, 2024",3803.71
INV-44366,Vendor_54026,PO-48952,"April 09, 2024",8509.79
INV-32273,Vendor_31672,PO-68905,"May 02, 2024",70950.48
INV-27820,Vendor_85394,PO-67520,"April 28, 2024",46052.06
INV-31420,Vendor_95896,PO-38327,"April 15, 2024",95144.83
INV-73535,Vendor_87070,PO-89634,"April 09, 2024",98934.71
INV-60848,Vendor_15525,PO-86781,"April 16, 2024",8621.79
INV-57558,Vendor_70137,PO-89193,"April 20, 2024",35199.32
INV-21557,Vendor_87421,PO-53069,"May 06, 2024",35665.67
INV-35892,Vendor_34450,PO-46474,"April 08, 2024",88745.31
INV-97920,Vendor_38321,PO-71233,"April 18, 2024",69736.51
INV-21405,Vendor_16636,PO-93592,"April 18, 2024",78206.18
INV-26133,Vendor_44621,PO-56371,"May 03, 2024",76855.91
INV-25304,Vendor_90584,PO-90213,"May 06, 2024",35100.97
INV-49026,Vendor_68257,PO-90418,"April 26, 2024",99378.74
INV-68008,Vendor_68940,PO-17216,"April 10, 2024",40819.64
INV-86379,Vendor_18007,PO-90346,"April 08, 2024",60463.89
INV-75361,Vendor_19249,PO-80021,"May 03, 2024",89582.73
INV-88735,Vendor_30648,PO-19774,"April 19, 2024",14741.7
INV-52828,Vendor_68210,PO-33484,"April 11, 2024",37874.45
INV-25201,Vendor_75766,PO-44783,"April 25, 2024",64396.22
INV-82603,Vendor_92090,PO-20692,"April 07, 2024",43808.0
INV-33701,Vendor_47120,PO-88942,"April 18, 2024",83943.66
INV-10515,Vendor_58429,PO-75480,"April 23, 2024",91896.81
INV-20826,Vendor_84083,PO-62245,"April 23, 2024",54185.97
INV-42886,Vendor_46865,PO-45051,"May 01, 2024",58410.24
INV-69905,Vendor_87673,PO-53691,"April 26, 2024",25557.92
INV-34700,Vendor_35801,PO-28735,"April 21, 2024",39863.01
INV-68064,Vendor_47718,PO-69641,"April 11, 2024",17528.64
INV-13444,Vendor_20316,PO-48441,"May 06, 2024",93225.18
INV-26043,Vendor_67752,PO-33408,"May 02, 2024",94860.36
INV-67212,Vendor_59916,PO-32888,"April 28, 2024",75884.35
INV-95632,Vendor_67811,PO-29210,"May 02, 2024",72738.34
INV-18762,Vendor_35867,PO-28072,"April 27, 2024",31098.32
INV-26084,Vendor_44819,PO-69381,"April 13, 2024",33050.35
INV-37563,Vendor_99814,PO-52992,"April 30, 2024",28754.52
INV-22042,Vendor_33958,PO-69576,"April 18, 2024",73087.11
INV-60216,Vendor_93994,PO-41315,"April 18, 2024",8956.67
INV-48812,Vendor_26411,PO-79942,"April 26, 2024",76345.42
INV-58227,Vendor_45046,PO-21658,"April 25, 2024",91435.47
INV-89468,Vendor_76459,PO-51042,"April 14, 2024",90592.86
INV-78649,Vendor_51508,PO-95505,"April 27, 2024",11506.95
INV-51279,Vendor_43058,PO-93551,"April 19, 2024",67159.03
INV-26865,Vendor_20749,PO-29521,"April 18, 2024",31735.47
INV-10505,Vendor_54750,PO-43346,"May 05, 2024",14851.9
INV-62190,Vendor_50299,PO-90775,"April 15, 2024",95042.57
INV-44236,Vendor_56520,PO-50757,"April 08, 2024",66618.86
INV-22132,Vendor_49962,PO-98533,"May 05, 2024",31892.49
INV-19013,Vendor_22025,PO-37888,"April 29, 2024",14497.04
INV-22349,Vendor_19287,PO-21789,"May 01, 2024",70488.98
INV-72734,Vendor_53646,PO-64121,"April 12, 2024",62367.01
INV-92147,Vendor_18229,PO-87382,"April 25, 2024",88081.83
INV-74276,Vendor_95386,PO-23884,"April 13, 2024",97994.69
INV-99287,Vendor_83981,PO-50735,"May 03, 2024",58817.56
INV-37774,Vendor_36410,PO-65626,"April 13, 2024",68841.36
INV-59790,Vendor_48715,PO-19292,"May 05, 2024",23313.44
INV-40869,Vendor_87106,PO-94191,"April 17, 2024",58289.89
INV-36113,Vendor_11768,PO-53207,"April 26, 2024",7844.16
INV-57040,Vendor_78380,PO-63361,"April 08, 2024",63665.8
INV-83024,Vendor_49615,PO-87078,"April 14, 2024",63770.67
INV-24201,Vendor_96428,PO-76139,"April 25, 2024",6448.97
INV-71076,Vendor_44146,PO-45141,"April 13, 2024",17434.77
INV-95882,Vendor_40788,PO-11435,"April 15, 2024",7907.19
INV-49920,Vendor_88922,PO-58948,"April 20, 2024",71324.56
INV-68686,Vendor_25523,PO-91990,"May 06, 2024",86307.02
INV-76998,Vendor_66637,PO-77480,"May 06, 2024",31039.48
INV-75475,Vendor_50796,PO-44578,"April 26, 2024",53432.65
INV-22206,Vendor_76090,PO-26230,"April 18, 2024",88489.75
INV-52781,Vendor_66749,PO-98257,"April 12, 2024",97096.3
INV-77875,Vendor_19770,PO-92011,"May 05, 2024",47542.06
INV-34091,Vendor_89550,PO-96802,"April 18, 2024",44479.98
INV-79245,Vendor_87772,PO-98211,"April 30, 2024",87915.67
INV-74975,Vendor_26353,PO-83072,"May 03, 2024",72964.89
INV-73125,Vendor_19045,PO-17312,"May 01, 2024",62727.8
INV-36019,Vendor_71495,PO-17575,"April 26, 2024",14194.48
INV-66205,Vendor_68612,PO-91916,"April 25, 2024",61083.56
INV-50991,Vendor_39683,PO-10854,"May 05, 2024",12196.22
INV-88245,Vendor_21977,PO-96496,"April 21, 2024",44245.2
INV-66466,Vendor_85945,PO-94484,"May 05, 2024",73939.59
INV-95544,Vendor_64086,PO-73335,"April 22, 2024",6864.47
INV-41420,Vendor_36646,PO-12920,"May 05, 2024",21090.77
INV-89426,Vendor_12487,PO-71946,"April 15, 2024",12715.38
INV-42071,Vendor_93510,PO-36508,"April 23, 2024",33420.68
INV-37030,Vendor_15031,PO-49123,"April 19, 2024",70088.66
INV-75032,Vendor_83569,PO-77971,"April 24, 2024",89330.59
INV-17425,Vendor_62160,PO-47857,"April 22, 2024",63313.18
INV-26089,Vendor_82354,PO-90579,"April 21, 2024",86347.61
INV-35263,Vendor_48670,PO-25391,"April 18, 2024",26796.29
INV-68838,Vendor_98034,PO-94651,"April 11, 2024",35972.33
INV-78817,Vendor_77981,PO-41740,"April 28, 2024",54929.81
INV-59181,Vendor_63366,PO-67334,"April 30, 2024",35219.8
INV-37321,Vendor_82889,PO-54123,"May 02, 2024",24554.74
INV-12403,Vendor_68629,PO-78122,"May 01, 2024",4507.93
INV-70854,Vendor_44500,PO-18727,"April 27, 2024",84296.81
INV-42164,Vendor_29850,PO-41893,"April 18, 2024",2531.25
INV-15675,Vendor_97039,PO-21976,"May 02, 2024",99685.09
INV-25626,Vendor_19621,PO-13352,"April 08, 2024",14044.31
INV-31523,Vendor_42122,PO-49807,"April 08, 2024",52722.93
INV-97825,Vendor_86648,PO-59423,"May 05, 2024",54880.68
INV-87942,Vendor_21369,PO-40833,"April 17, 2024",20259.77
INV-39774,Vendor_55927,PO-90859,"April 25, 2024",90208.84
INV-78816,Vendor_27879,PO-82944,"April 29, 2024",56181.02
INV-33149,Vendor_23278,PO-93789,"April 07, 2024",64778.29
INV-46954,Vendor_64389,PO-41995,"May 05, 2024",71788.91
INV-81481,Vendor_50436,PO-48955,"April 09, 2024",7572.03
INV-64408,Vendor_61935,PO-56710,"April 23, 2024",71131.85
INV-93618,Vendor_81670,PO-68874,"April 24, 2024",3482.86
INV-46470,Vendor_80722,PO-90196,"April 28, 2024",86475.29
INV-70591,Vendor_48327,PO-46058,"April 27, 2024",66736.54
INV-38431,Vendor_92015,PO-14892,"April 29, 2024",2899.98
INV-33154,Vendor_16216,PO-20906,"April 28, 2024",40519.21
INV-73181,Vendor_51004,PO-26701,"April 15, 2024",31139.59
INV-28912,Vendor_25591,PO-76521,"May 04, 2024",23239.98
INV-55389,Vendor_22122,PO-50884,"April 16, 2024",95445.49
INV-63889,Vendor_82506,PO-73268,"April 14, 2024",96484.99
INV-70893,Vendor_58994,PO-54160,"April 11, 2024",86054.36
INV-75215,Vendor_74474,PO-91021,"April 29, 2024",2917.37
INV-77544,Vendor_71097,PO-87546,"April 22, 2024",46767.1
INV-10948,Vendor_24109,PO-51751,"May 06, 2024",16136.9
INV-81562,Vendor_53542,PO-89617,"April 29, 2024",31627.78
INV-93862,Vendor_44914,PO-93204,"April 10, 2024",69020.89
INV-75927,Vendor_67454,PO-53480,"April 24, 2024",97957.73
INV-32458,Vendor_58619,PO-58989,"April 12, 2024",6697.26
INV-20175,Vendor_29750,PO-45776,"May 06, 2024",64498.19
INV-51649,Vendor_45323,PO-82946,"April 24, 2024",62425.39
INV-21388,Vendor_23160,PO-16706,"May 06, 2024",7289.98
INV-20019,Vendor_94549,PO-40021,"May 06, 2024",34399.18
INV-13436,Vendor_38849,PO-95746,"April 07, 2024",11951.83
INV-34354,Vendor_10727,PO-43407,"April 24, 2024",64202.01
